965	545
970	545
975	545
980	545
985	545
990	545
995	545
1000	545
1005	545
1010	545
965	550
970	550
975	550
980	550
985	550
990	550
995	550
1000	550
1005	550
1010	550
965	555
970	555
975	555
980	555
985	555
990	555
995	555
1000	555
1005	555
1010	555
965	560
970	560
975	560
980	560
985	560
990	560
995	560
1000	560
1005	560
1010	560
965	565
970	565
975	565
980	565
985	565
990	565
995	565
1000	565
1005	565
1010	565
965	570
970	570
975	570
980	570
985	570
990	570
995	570
1000	570
1005	570
1010	570
965	575
970	575
975	575
980	575
985	575
990	575
995	575
1000	575
1005	575
1010	575
965	580
970	580
975	580
980	580
985	580
990	580
995	580
1000	580
1005	580
1010	580
965	585
970	585
975	585
980	585
985	585
990	585
995	585
1000	585
1005	585
1010	585
965	590
970	590
975	590
980	590
985	590
990	590
995	590
1000	590
1005	590
1010	590
